Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
36;AFG;Afghanistan;Kabul;Asia;41128771;38972230;33753499;28189672;19542982;10694796;12486631;10752971;652230;630.587;10.257;0.52
138;ALB;Albania;Tirana;Europe;2842321;2866849;2882481;2913399;3182021;3295066;2941651;2324731;28748;988.702;0.9957;0.04
34;DZA;Algeria;Algiers;Africa;44903225;43451666;39543154;35856344;30774621;25518074;18739378;13795915;2381741;188.531;10.164;0.56
213;ASM;American Samoa;Pago Pago;Oceania;44273;46189;51368;54849;58230;47818;32886;27075;199;2.224.774;0.9831;0
203;AND;Andorra;Andorra la Vella;Europe;79824;77700;71746;71519;66097;53569;35611;19860;468;1.705.641;1.01;0
42;AGO;Angola;Luanda;Africa;35588987;33428485;28127721;23364185;16394062;11828638;8330047;6029700;1246700;285.466;10.315;0.45
224;AIA;Anguilla;The Valley;North America;15857;15585;14525;13172;11047;8316;6560;6283;91;1.742.527;10.066;0
201;ATG;Antigua and Barbuda;Saint John’s;North America;93763;92664;89941;85695;75055;63328;64888;64516;442;2.121.335;10.058;0
33;ARG;Argentina;Buenos Aires;South America;45510318;45036032;43257065;41100123;37070774;32637657;28024803;23842803;2780400;163.683;10.052;0.57
140;ARM;Armenia;Yerevan;Asia;2780469;2805608;2878595;2946293;3168523;3556539;3135123;2534377;29743;934.831;0.9962;0.03
198;ABW;Aruba;Oranjestad;North America;106445;106585;104257;100341;89101;65712;62267;59106;180;5.913.611;0.9991;0
55;AUS;Australia;Canberra;Oceania;26177413;25670051;23820236;22019168;19017963;17048003;14706322;12595034;7692024;34.032;10.099;0.33
99;AUT;Austria;Vienna;Europe;8939617;8907777;8642421;8362829;8010428;7678729;7547561;7465301;83871;1.065.877;1.002;0.11
91;AZE;Azerbaijan;Baku;Asia;10358074;10284951;9863480;9237202;8190337;7427836;6383060;5425317;86600;1.196.082;10.044;0.13
176;BHS;Bahamas;Nassau;North America;409984;406471;392697;373272;325014;270679;223752;179129;13943;294.043;10.051;0.01
154;BHR;Bahrain;Manama;Asia;1472233;1477469;1362142;1213645;711442;517418;362595;222555;765;19.244.876;10.061;0.02
8;BGD;Bangladesh;Dhaka;Asia;171186372;167420951;157830000;148391139;129193327;107147651;83929765;67541860;147570;1.160.035;10.108;2.15
186;BRB;Barbados;Bridgetown;North America;281635;280693;278083;274711;264657;258868;253575;241397;430;6.549.651;10.015;0
96;BLR;Belarus;Minsk;Europe;9534954;9633740;9700609;9731427;10256483;10428525;9817257;9170786;207600;459.295;0.9955;0.12
81;BEL;Belgium;Brussels;Europe;11655930;11561717;11248303;10877947;10264343;9959560;9828986;9629376;30528;3.818.111;10.038;0.15
177;BLZ;Belize;Belmopan;North America;405272;394921;359871;322106;240406;182589;145133;120905;22966;176.466;10.131;0.01
77;BEN;Benin;Porto-Novo;Africa;13352864;12643123;10932783;9445710;6998023;5133419;3833939;3023443;112622;1.185.635;10.274;0.17
206;BMU;Bermuda;Hamilton;North America;64184;64031;63144;63447;61371;57470;53565;52019;54;11.885.926;1;0
165;BTN;Bhutan;Thimphu;Asia;782455;772506;743274;705516;587207;558442;415257;298894;38394;203.796;10.064;0.01
80;BOL;Bolivia;Sucre;South America;12224110;11936162;11090085;10223270;8592656;7096194;5736088;4585693;1098581;111.272;1.012;0.15
137;BIH;Bosnia and Herzegovina;Sarajevo;Europe;3233526;3318407;3524324;3811088;4179350;4494310;4199820;3815561;51209;631.437;0.9886;0.04
144;BWA;Botswana;Gaborone;Africa;2630296;2546402;2305171;2091664;1726985;1341474;938578;592244;582000;45.194;10.162;0.03
7;BRA;Brazil;Brasilia;South America;215313498;213196304;205188205;196353492;175873720;150706446;122288383;96369875;8515767;252.841;10.046;2.7
221;VGB;British Virgin Islands;Road Town;North America;31305;30910;29366;27556;20104;15617;11109;9581;151;2.073.179;10.059;0
175;BRN;Brunei;Bandar Seri Begawan;Asia;449002;441725;421437;396053;333926;261928;187921;133343;5765;778.841;10.081;0.01
108;BGR;Bulgaria;Sofia;Europe;6781953;6979175;7309253;7592273;8097691;8767778;8980606;8582950;110879;611.654;0.9849;0.09
58;BFA;Burkina Faso;Ouagadougou;Africa;22673762;21522626;18718019;16116845;11882888;9131361;6932967;5611666;272967;830.641;10.259;0.28
78;BDI;Burundi;Bujumbura;Africa;12889576;12220227;10727148;9126605;6307659;5483793;4312834;3497834;27834;4.630.874;1.027;0.16
73;KHM;Cambodia;Phnom Penh;Asia;16767842;16396860;15417523;14363532;12118841;8910808;6198959;6708525;181035;926.221;10.108;0.21
53;CMR;Cameroon;Yaounde;Africa;27914536;26491087;23012646;19878036;15091594;11430520;8519891;6452787;475442;587.128;10.263;0.35
39;CAN;Canada;Ottawa;North America;38454327;37888705;35732126;33963412;30683313;27657204;24511510;21434577;9984670;38.513;10.078;0.48
171;CPV;Cape Verde;Praia;Africa;593149;582640;552166;521212;458251;364563;317234;287262;4033;1.470.739;10.089;0.01
205;CYM;Cayman Islands;George Town;North America;68706;67311;60911;54074;39658;26027;17100;10533;264;260.25;10.084;0
117;CAF;Central African Republic;Bangui;Africa;5579144;5343020;4819333;4660067;3759170;2809221;2415276;2067356;622984;89.555;10.224;0.07
69;TCD;Chad;N'Djamena;Africa;17723315;16644701;14140274;11894727;8259137;5827069;4408230;3667394;1284000;138.032;10.316;0.22
65;CHL;Chile;Santiago;South America;19603733;19300315;17870124;17004162;15351799;13342868;11469828;9820481;756102;259.274;10.057;0.25
1;CHN;China;Beijing;Asia;1425887337;1424929781;1393715448;1348191368;1264099069;1153704252;982372466;822534450;9706961;1.468.933;1;17.88
28;COL;Colombia;Bogota;South America;51874024;50930662;47119728;44816108;39215135;32601393;26176195;20905254;1141748;454.339;10.069;0.65
163;COM;Comoros;Moroni;Africa;836774;806166;730216;656024;536758;431119;328328;242351;1862;4.493.953;10.184;0.01
223;COK;Cook Islands;Avarua;Oceania;17011;17029;17695;17212;15897;17123;17651;20470;236;720.805;10.005;0
124;CRI;Costa Rica;San José;North America;5180829;5123105;4895242;4622252;3979193;3158253;2414303;1855697;51100;1.013.861;10.052;0.06
130;HRV;Croatia;Zagreb;Europe;4030358;4096868;4254815;4368682;4548434;4873707;4680144;4492638;56594;712.153;0.9927;0.05
85;CUB;Cuba;Havana;North America;11212191;11300698;11339894;11290417;11105791;10626680;9809107;8869636;109884;1.020.366;0.9961;0.14
189;CUW;Curacao;Willemstad;North America;191163;189288;169572;159380;141424;155446;156851;150385;444;4.305.473;10.043;0
158;CYP;Cyprus;Nicosia;Europe;1251488;1237537;1187280;1129686;948237;788500;679327;640804;9251;1.352.814;10.059;0.02
88;CZE;Czech Republic;Prague;Europe;10493986;10530953;10523798;10464749;10234710;10301192;10270060;9795744;78865;1.330.627;0.9984;0.13
115;DNK;Denmark;Copenhagen;Europe;5882261;5825641;5677796;5550849;5340655;5144623;5125392;4922963;43094;1.364.984;10.048;0.07
160;DJI;Djibouti;Djibouti;Africa;1120849;1090156;1006259;919199;742033;577173;324121;144379;23200;483.125;10.138;0.01
204;DMA;Dominica;Roseau;North America;72737;71995;70007;68755;68346;69481;72978;68895;751;968.535;10.045;0
84;DOM;Dominican Republic;Santo Domingo;North America;11228821;10999664;10405832;9775755;8540791;7129004;5755800;4475871;48671;2.307.087;1.01;0.14
15;COD;DR Congo;Kinshasa;Africa;99010212;92853164;78656904;66391257;48616317;35987541;26708686;20151733;2344858;422.244;10.325;1.24
67;ECU;Ecuador;Quito;South America;18001000;17588595;16195902;14989585;12626507;10449837;8135845;6172215;276841;650.229;10.114;0.23
14;EGY;Egypt;Cairo;Africa;110990103;107465134;97723799;87252413;71371371;57214630;43748556;34781986;1002450;1.107.188;10.158;1.39
112;SLV;El Salvador;San Salvador;North America;6336392;6292731;6231066;6114034;5958482;5367179;4508992;3619090;21041;301.145;10.035;0.08
152;GNQ;Equatorial Guinea;Malabo;Africa;1674908;1596049;1346973;1094524;684977;465549;282509;316955;28051;597.094;10.247;0.02
132;ERI;Eritrea;Asmara;Africa;3684032;3555868;3340006;3147727;2392880;2149960;1657982;1272748;117600;313.268;10.176;0.05
156;EST;Estonia;Tallinn;Europe;1326062;1329444;1314657;1331535;1396877;1570674;1476983;1361999;45227;293.201;0.998;0.02
159;SWZ;Eswatini;Mbabane;Africa;1201670;1180655;1133936;1099920;1030496;854011;598564;442865;17364;692.047;10.079;0.02
12;ETH;Ethiopia;Addis Ababa;Africa;123379924;117190911;102471895;89237791;67031867;47878073;34945469;28308246;1104300;1.117.268;10.257;1.55
231;FLK;Falkland Islands;Stanley;South America;3780;3747;3408;3187;3080;2332;2240;2274;12173;0.3105;10.043;0
209;FRO;Faroe Islands;Tórshavn;Europe;53090;52415;48816;48410;45660;47479;43054;38416;1393;38.112;10.038;0
162;FJI;Fiji;Suva;Oceania;929766;920422;917200;905169;832509;780430;644582;527634;18272;508.847;10.056;0.01
118;FIN;Finland;Helsinki;Europe;5540745;5529468;5479461;5363271;5176209;4986545;4779418;4606621;338424;163.722;10.009;0.07
23;FRA;France;Paris;Europe;64626628;64480053;63809769;62444567;58665453;56412897;53713830;50523586;551695;1.171.419;10.015;0.81
184;GUF;French Guiana;Cayenne;South America;304557;290969;257026;228453;164351;113931;66825;46484;83534;36.459;10.239;0
183;PYF;French Polynesia;Papeete;Oceania;306279;301920;291787;283788;250927;211089;163591;117891;4167;735.011;10.074;0
146;GAB;Gabon;Libreville;Africa;2388992;2292573;2028517;1711105;1272935;983028;749078;597192;267668;89.252;10.204;0.03
142;GMB;Gambia;Banjul;Africa;2705992;2573995;2253133;1937275;1437539;1040616;718586;528731;10689;2.531.567;1.025;0.03
131;GEO;Georgia;Tbilisi;Asia;3744385;3765912;3771132;3836831;4265172;5391636;5145843;4800426;69700;537.214;0.9964;0.05
19;DEU;Germany;Berlin;Europe;83369843;83328988;82073226;81325090;81551677;79370196;77786703;78294583;357114;2.334.544;0.9995;1.05
47;GHA;Ghana;Accra;Africa;33475870;32180401;28870939;25574719;19665502;15446982;11865246;8861895;238533;1.403.406;10.196;0.42
219;GIB;Gibraltar;Gibraltar;Europe;32649;32709;32520;31262;27741;27317;28734;26685;6;5441.5;0.9994;0
90;GRC;Greece;Athens;Europe;10384971;10512232;10806641;11033783;11038109;10302255;9307148;8544873;131990;78.68;0.9942;0.13
208;GRL;Greenland;Nuuk;North America;56466;56026;55895;56351;56184;55599;50106;45434;2166086;0.0261;1.004;0
193;GRD;Grenada;Saint George's;North America;125438;123663;118980;114039;107432;99047;94838;98794;344;3.646.453;10.066;0
178;GLP;Guadeloupe;Basse-Terre;North America;395752;395642;399089;403072;424067;391951;334234;318310;1628;2.430.909;0.9992;0
191;GUM;Guam;Hagåtña;Oceania;171774;169231;167978;164905;160188;138263;110286;88300;549;3.128.852;10.073;0
68;GTM;Guatemala;Guatemala City;North America;17843908;17362718;16001107;14543121;11735894;9084780;6987767;5453208;108889;1.638.725;10.134;0.22
207;GGY;Guernsey;Saint Peter Port;Europe;63301;62794;61629;60782;59114;57727;52860;52656;78;8.115.513;10.037;0
75;GIN;Guinea;Conakry;Africa;13859341;13205153;11625998;10270728;8336967;6354145;4972609;4222374;245857;563.716;10.242;0.17
149;GNB;Guinea-Bissau;Bissau;Africa;2105566;2015828;1788919;1567220;1230849;973551;831462;591663;36125;582.856;10.218;0.03
164;GUY;Guyana;Georgetown;South America;808726;797202;755031;747932;759051;747116;778176;705261;214969;37.621;10.052;0.01
82;HTI;Haiti;Port-au-Prince;North America;11584996;11306801;10563757;9842880;8360225;6925331;5646676;4680812;27750;4.174.773;1.012;0.15
89;HND;Honduras;Tegucigalpa;North America;10432860;10121763;9294505;8450933;6656725;5053234;3777990;2782753;112492;927.431;1.015;0.13
104;HKG;Hong Kong;Hong Kong;Asia;7488865;7500958;7399838;7132438;6731195;5838574;4978544;3955072;1104;67.833.922;0.9992;0.09
94;HUN;Hungary;Budapest;Europe;9967308;9750573;9844246;9986825;10202055;10375989;10698679;10315366;93028;1.071.431;10.265;0.12
179;ISL;Iceland;Reykjavík;Europe;372899;366669;331060;318333;281462;255019;228263;204468;103000;36.204;10.069;0
2;IND;India;New Delhi;Asia;1417173173;1396387127;1322866505;1240613620;1059633675;870452165;696828385;557501301;3287590;4.310.675;10.068;17.77
4;IDN;Indonesia;Jakarta;Asia;275501339;271857970;259091970;244016173;214072421;182159874;148177096;115228394;1904569;1.446.529;10.064;3.45
17;IRN;Iran;Tehran;Asia;88550570;87290193;81790841;75373855;65544383;55793629;38520664;28449705;1648195;537.258;10.071;1.11
35;IRQ;Iraq;Baghdad;Asia;44496122;42556984;37757813;31264875;24628858;17658381;13653369;9811347;438317;1.015.158;10.221;0.56
125;IRL;Ireland;Dublin;Europe;5023109;4946119;4665760;4524585;3768950;3485374;3391387;2937637;70273;714.799;10.073;0.06
202;IMN;Isle of Man;Douglas;Europe;84519;84046;83593;83828;75562;68865;64022;55298;572;1.477.605;1.003;0
98;ISR;Israel;Jerusalem;Asia;9038309;8757489;8007778;7328445;6116958;4803254;3744608;2907307;20770;4.351.617;10.155;0.11
25;ITA;Italy;Rome;Europe;59037474;59500579;60232906;59822450;56966397;56756561;56329482;53324036;301336;1.959.191;0.9966;0.74
52;CIV;Ivory Coast;Yamoussoukro;Africa;28160542;26811790;23596741;21120042;16799670;11910540;8303809;5477086;322463;873.295;10.248;0.35
139;JAM;Jamaica;Kingston;North America;2827377;2820436;2794445;2733896;2612205;2392030;2135546;1859091;10991;2.572.447;0.9999;0.04
11;JPN;Japan;Tokyo;Asia;123951692;125244761;127250933;128105431;126803861;123686321;117624196;105416839;377930;3.279.753;0.9947;1.55
195;JEY;Jersey;Saint Helier;Europe;110778;108319;100561;96151;86192;82874;75124;68347;116;9.549.828;10.106;0
83;JOR;Jordan;Amman;Asia;11285869;10928721;9494246;6931258;5056174;3480587;2216903;1557374;89342;1.263.221;10.123;0.14
